courseID,courseTitle,courseLink
10024, Teaching Adult Literacy and Numeracy,https://handbook.uts.edu.au/subjects/details/010024.html
10025, Teaching EAL/D and Literacy in Schools,https://handbook.uts.edu.au/subjects/details/010025.html
10026, Topics in Language Development,https://handbook.uts.edu.au/subjects/details/010026.html
10027, Developing an Indigenised Curriculum,https://handbook.uts.edu.au/subjects/details/010027.html
10028, Supervising Indigenous Higher Degree Research,https://handbook.uts.edu.au/subjects/details/010028.html
10029, Teaching Indigenous University Students,https://handbook.uts.edu.au/subjects/details/010029.html
10042, Student Learning and Teaching Approaches,https://handbook.uts.edu.au/subjects/details/010042.html
10043, Course Design and Assessment,https://handbook.uts.edu.au/subjects/details/010043.html
10044, Scholarly Teaching and Learning Project,https://handbook.uts.edu.au/subjects/details/010044.html
10045, Reflective Academic Practice,https://handbook.uts.edu.au/subjects/details/010045.html
10046, Learning Futures: Teaching for Complexity and Diversity,https://handbook.uts.edu.au/subjects/details/010046.html
10047, Literacy and Numeracy Across the Curriculum,https://handbook.uts.edu.au/subjects/details/010047.html
10048, Professional Learning,https://handbook.uts.edu.au/subjects/details/010048.html
10049, Understanding and Engaging Adolescent Learners,https://handbook.uts.edu.au/subjects/details/010049.html
10050, Student Welfare: Implications for Teaching and Learning,https://handbook.uts.edu.au/subjects/details/010050.html
10051, Beginning Teaching: Surviving and Thriving,https://handbook.uts.edu.au/subjects/details/010051.html
10058, Advancing Academic Practice,https://handbook.uts.edu.au/subjects/details/010058.html
10060, Teaching for Learning,https://handbook.uts.edu.au/subjects/details/010060.html
10062, Evidencing Academic Practice,https://handbook.uts.edu.au/subjects/details/010062.html
10063, Feedback and Assessment,https://handbook.uts.edu.au/subjects/details/010063.html
10064, Technology-Enhanced Learning,https://handbook.uts.edu.au/subjects/details/010064.html
10065, Practising Inclusion: Working and Teaching for Social Justice,https://handbook.uts.edu.au/subjects/details/010065.html
10066, Student Agency and Teamwork,https://handbook.uts.edu.au/subjects/details/010066.html
10067, Course Design,https://handbook.uts.edu.au/subjects/details/010067.html
