courseID,courseName,subjectID,subjectRecommendedYear
C09019,Bachelor of Information Technology (Honours),32144,1
C09019,Bachelor of Information Technology (Honours),32931,1
C09019,Bachelor of Information Technology (Honours),31482,1
C09019,Bachelor of Information Technology (Honours),32144,1
C09019,Bachelor of Information Technology (Honours),32931,1
C09019,Bachelor of Information Technology (Honours),31482,2
C09031,Bachelor of Medical Science (Honours),91103,1
C09031,Bachelor of Medical Science (Honours),91104,1
C09031,Bachelor of Medical Science (Honours),91103,1
C09031,Bachelor of Medical Science (Honours),91104,2
C09047,Bachelor of Communication (Honours),55993,1
C09047,Bachelor of Communication (Honours),55990,1
C09047,Bachelor of Communication (Honours),55994,1
C09048,Bachelor of Design (Honours) in Architecture,11391,1
C09048,Bachelor of Design (Honours) in Architecture,11392,1
C09048,Bachelor of Design (Honours) in Architecture,11393,1
C09048,Bachelor of Design (Honours) in Architecture,11277,1
C09048,Bachelor of Design (Honours) in Architecture,11232,1
C09048,Bachelor of Design (Honours) in Architecture,11248,1
C09048,Bachelor of Design (Honours) in Architecture,11278,1
C09048,Bachelor of Design (Honours) in Architecture,11206,1
C09048,Bachelor of Design (Honours) in Architecture,11216,1
C09048,Bachelor of Design (Honours) in Architecture,11277,1
C09048,Bachelor of Design (Honours) in Architecture,11232,1
C09048,Bachelor of Design (Honours) in Architecture,11212,1
C09048,Bachelor of Design (Honours) in Architecture,11278,1
C09048,Bachelor of Design (Honours) in Architecture,11206,1
C09048,Bachelor of Design (Honours) in Architecture,11222,1
C09048,Bachelor of Design (Honours) in Architecture,11188,1
C09048,Bachelor of Design (Honours) in Architecture,11183,1
C09048,Bachelor of Design (Honours) in Architecture,11172,1
C09048,Bachelor of Design (Honours) in Architecture,11177,1
C09048,Bachelor of Design (Honours) in Architecture,11180,1
C09048,Bachelor of Design (Honours) in Architecture,11197,1
C09051,Bachelor of Midwifery (Honours),92618,1
C09051,Bachelor of Midwifery (Honours),92265,1
C09051,Bachelor of Midwifery (Honours),92266,1
C09055,Bachelor of Design (Honours) in Interior Architecture,86321,1
C09055,Bachelor of Design (Honours) in Interior Architecture,86322,1
C09055,Bachelor of Design (Honours) in Interior Architecture,86400,1
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),48023,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),48510,1
C09066,Bachelor of Engineering (Honours),41099,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),41160,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),91400,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),31250,2
C09066,Bachelor of Engineering (Honours),31061,2
C09066,Bachelor of Engineering (Honours),91822,2
C09066,Bachelor of Engineering (Honours),65111,2
C09066,Bachelor of Engineering (Honours),41162,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),91161,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),41163,3
C09066,Bachelor of Engineering (Honours),41161,3
C09066,Bachelor of Engineering (Honours),91705,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),41203,3
C09066,Bachelor of Engineering (Honours),26101,3
C09066,Bachelor of Engineering (Honours),42026,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),43021,4
C09066,Bachelor of Engineering (Honours),49261,4
C09066,Bachelor of Engineering (Honours),42001,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),43022,4
C09066,Bachelor of Engineering (Honours),42722,4
C09066,Bachelor of Engineering (Honours),42724,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),48310,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48321,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48221,2
C09066,Bachelor of Engineering (Honours),48331,2
C09066,Bachelor of Engineering (Honours),48340,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),48330,2
C09066,Bachelor of Engineering (Honours),48349,2
C09066,Bachelor of Engineering (Honours),48352,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),48353,3
C09066,Bachelor of Engineering (Honours),48641,3
C09066,Bachelor of Engineering (Honours),48370,3
C09066,Bachelor of Engineering (Honours),41203,3
C09066,Bachelor of Engineering (Honours),48350,3
C09066,Bachelor of Engineering (Honours),48360,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),48366,4
C09066,Bachelor of Engineering (Honours),48389,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),48362,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),48310,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48321,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48221,2
C09066,Bachelor of Engineering (Honours),48331,2
C09066,Bachelor of Engineering (Honours),48340,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),48330,2
C09066,Bachelor of Engineering (Honours),48349,2
C09066,Bachelor of Engineering (Honours),48352,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),48353,3
C09066,Bachelor of Engineering (Honours),48641,3
C09066,Bachelor of Engineering (Honours),16912,3
C09066,Bachelor of Engineering (Honours),48360,3
C09066,Bachelor of Engineering (Honours),16314,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),16263,4
C09066,Bachelor of Engineering (Honours),48370,4
C09066,Bachelor of Engineering (Honours),16422,4
C09066,Bachelor of Engineering (Honours),16138,4
C09066,Bachelor of Engineering (Honours),42095,4
C09066,Bachelor of Engineering (Honours),16471,4
C09066,Bachelor of Engineering (Honours),48850,4
C09066,Bachelor of Engineering (Honours),48362,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),16422,4
C09066,Bachelor of Engineering (Honours),16263,4
C09066,Bachelor of Engineering (Honours),48370,4
C09066,Bachelor of Engineering (Honours),16138,4
C09066,Bachelor of Engineering (Honours),42095,4
C09066,Bachelor of Engineering (Honours),16471,4
C09066,Bachelor of Engineering (Honours),48850,4
C09066,Bachelor of Engineering (Honours),41203,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),48310,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48321,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),60101,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48221,2
C09066,Bachelor of Engineering (Honours),48331,2
C09066,Bachelor of Engineering (Honours),48340,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),48330,2
C09066,Bachelor of Engineering (Honours),48349,2
C09066,Bachelor of Engineering (Honours),48352,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),48353,3
C09066,Bachelor of Engineering (Honours),48641,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),41203,3
C09066,Bachelor of Engineering (Honours),48360,3
C09066,Bachelor of Engineering (Honours),49047,3
C09066,Bachelor of Engineering (Honours),49150,3
C09066,Bachelor of Engineering (Honours),49131,3
C09066,Bachelor of Engineering (Honours),49151,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),48366,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),48389,4
C09066,Bachelor of Engineering (Honours),48362,4
C09066,Bachelor of Engineering (Honours),48371,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),65111,1
C09066,Bachelor of Engineering (Honours),48310,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48321,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48320,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48331,2
C09066,Bachelor of Engineering (Honours),48350,2
C09066,Bachelor of Engineering (Honours),48221,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),48352,2
C09066,Bachelor of Engineering (Honours),48641,2
C09066,Bachelor of Engineering (Honours),48821,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),48349,3
C09066,Bachelor of Engineering (Honours),48860,3
C09066,Bachelor of Engineering (Honours),48362,3
C09066,Bachelor of Engineering (Honours),41203,3
C09066,Bachelor of Engineering (Honours),48330,3
C09066,Bachelor of Engineering (Honours),48353,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),48850,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),48360,4
C09066,Bachelor of Engineering (Honours),48370,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),43124,4
C09066,Bachelor of Engineering (Honours),48881,4
C09066,Bachelor of Engineering (Honours),48366,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),48430,1
C09066,Bachelor of Engineering (Honours),48510,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48521,1
C09066,Bachelor of Engineering (Honours),48520,1
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48441,2
C09066,Bachelor of Engineering (Honours),48434,2
C09066,Bachelor of Engineering (Honours),48540,2
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),48531,2
C09066,Bachelor of Engineering (Honours),48530,2
C09066,Bachelor of Engineering (Honours),41277,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),41278,3
C09066,Bachelor of Engineering (Honours),48572,3
C09066,Bachelor of Engineering (Honours),41028,3
C09066,Bachelor of Engineering (Honours),41088,3
C09066,Bachelor of Engineering (Honours),41203,3
C09066,Bachelor of Engineering (Honours),41055,4
C09066,Bachelor of Engineering (Honours),41029,4
C09066,Bachelor of Engineering (Honours),41089,4
C09066,Bachelor of Engineering (Honours),41030,4
C09066,Bachelor of Engineering (Honours),33130,1
C09066,Bachelor of Engineering (Honours),68037,1
C09066,Bachelor of Engineering (Honours),48510,1
C09066,Bachelor of Engineering (Honours),48430,1
C09066,Bachelor of Engineering (Honours),33230,1
C09066,Bachelor of Engineering (Honours),48230,1
C09066,Bachelor of Engineering (Honours),48520,1
C09066,Bachelor of Engineering (Honours),48521,1
C09066,Bachelor of Engineering (Honours),41035,2
C09066,Bachelor of Engineering (Honours),41200,2
C09066,Bachelor of Engineering (Honours),48441,2
C09066,Bachelor of Engineering (Honours),48530,2
C09066,Bachelor of Engineering (Honours),48540,2
C09066,Bachelor of Engineering (Honours),41201,2
C09066,Bachelor of Engineering (Honours),68038,2
C09066,Bachelor of Engineering (Honours),41033,2
C09066,Bachelor of Engineering (Honours),41086,2
C09066,Bachelor of Engineering (Honours),41202,3
C09066,Bachelor of Engineering (Honours),41087,3
C09066,Bachelor of Engineering (Honours),48434,3
C09066,Bachelor of Engineering (Honours),41276,3
C09066,Bachelor of Engineering (Honours),41088,3
C09066,Bachelor of Engineering (Honours),41028,3
